COV,Intensity,SV,chainLength,unsaturationUnit,isomer,sphingoidBackbone,lipidSpecies
8.6,0,200,16,1,Glc,d18:1,16:1
8.8,0,200,16,1,Glc,d18:1,16:1
9,0,200,16,1,Glc,d18:1,16:1
9.2,0,200,16,1,Glc,d18:1,16:1
9.4,0,200,16,1,Glc,d18:1,16:1
9.6,0,200,16,1,Glc,d18:1,16:1
9.8,0,200,16,1,Glc,d18:1,16:1
10,0,200,16,1,Glc,d18:1,16:1
-10,0,300,16,1,Glc,d18:1,16:1
-9.8,0,300,16,1,Glc,d18:1,16:1
-9.6,0,300,16,1,Glc,d18:1,16:1
-9.4,0,300,16,1,Glc,d18:1,16:1
-9.2,0,300,16,1,Glc,d18:1,16:1
-9,0,300,16,1,Glc,d18:1,16:1
-8.8,0,300,16,1,Glc,d18:1,16:1
-8.6,0,300,16,1,Glc,d18:1,16:1
-8.4,0,300,16,1,Glc,d18:1,16:1
-8.2,0,300,16,1,Glc,d18:1,16:1
-8,0,300,16,1,Glc,d18:1,16:1
-7.8,0,300,16,1,Glc,d18:1,16:1
-7.6,0,300,16,1,Glc,d18:1,16:1
-7.4,0,300,16,1,Glc,d18:1,16:1
-7.2,0,300,16,1,Glc,d18:1,16:1
-7,0,300,16,1,Glc,d18:1,16:1
-6.8,0,300,16,1,Glc,d18:1,16:1
-6.6,0,300,16,1,Glc,d18:1,16:1
-6.4,0,300,16,1,Glc,d18:1,16:1
-6.2,0,300,16,1,Glc,d18:1,16:1
-6,0,300,16,1,Glc,d18:1,16:1
-5.8,0,300,16,1,Glc,d18:1,16:1
-5.6,0,300,16,1,Glc,d18:1,16:1
-5.4,0,300,16,1,Glc,d18:1,16:1
-5.2,0,300,16,1,Glc,d18:1,16:1
-5,0,300,16,1,Glc,d18:1,16:1
-4.8,0,300,16,1,Glc,d18:1,16:1
-4.6,0,300,16,1,Glc,d18:1,16:1
-4.4,0,300,16,1,Glc,d18:1,16:1
-4.2,0,300,16,1,Glc,d18:1,16:1
-4,0,300,16,1,Glc,d18:1,16:1
-3.8,0,300,16,1,Glc,d18:1,16:1
-3.6,0,300,16,1,Glc,d18:1,16:1
-3.4,0,300,16,1,Glc,d18:1,16:1
-3.2,0,300,16,1,Glc,d18:1,16:1
-3,0,300,16,1,Glc,d18:1,16:1
-2.8,0,300,16,1,Glc,d18:1,16:1
-2.6,0,300,16,1,Glc,d18:1,16:1
-2.4,0,300,16,1,Glc,d18:1,16:1
-2.2,0,300,16,1,Glc,d18:1,16:1
-2,0,300,16,1,Glc,d18:1,16:1
-1.8,0,300,16,1,Glc,d18:1,16:1
-1.6,0,300,16,1,Glc,d18:1,16:1
-1.4,20,300,16,1,Glc,d18:1,16:1
-1.2,400,300,16,1,Glc,d18:1,16:1
-1,1300,300,16,1,Glc,d18:1,16:1
-0.8,3360,300,16,1,Glc,d18:1,16:1
-0.6,3760,300,16,1,Glc,d18:1,16:1
-0.4,3660,300,16,1,Glc,d18:1,16:1
-0.2,3580,300,16,1,Glc,d18:1,16:1
0,3060,300,16,1,Glc,d18:1,16:1
0.2,2420,300,16,1,Glc,d18:1,16:1
0.4,1820,300,16,1,Glc,d18:1,16:1
0.6,1480,300,16,1,Glc,d18:1,16:1
0.8,1160,300,16,1,Glc,d18:1,16:1
1,500,300,16,1,Glc,d18:1,16:1
1.2,120,300,16,1,Glc,d18:1,16:1
1.4,0,300,16,1,Glc,d18:1,16:1
1.6,0,300,16,1,Glc,d18:1,16:1
1.8,0,300,16,1,Glc,d18:1,16:1
2,0,300,16,1,Glc,d18:1,16:1
2.2,0,300,16,1,Glc,d18:1,16:1
2.4,0,300,16,1,Glc,d18:1,16:1
2.6,0,300,16,1,Glc,d18:1,16:1
2.8,0,300,16,1,Glc,d18:1,16:1
3,0,300,16,1,Glc,d18:1,16:1
3.2,0,300,16,1,Glc,d18:1,16:1
3.4,0,300,16,1,Glc,d18:1,16:1
3.6,0,300,16,1,Glc,d18:1,16:1
3.8,0,300,16,1,Glc,d18:1,16:1
4,0,300,16,1,Glc,d18:1,16:1
4.2,0,300,16,1,Glc,d18:1,16:1
4.4,0,300,16,1,Glc,d18:1,16:1
4.6,0,300,16,1,Glc,d18:1,16:1
4.8,0,300,16,1,Glc,d18:1,16:1
5,0,300,16,1,Glc,d18:1,16:1
5.2,0,300,16,1,Glc,d18:1,16:1
5.4,0,300,16,1,Glc,d18:1,16:1
5.6,0,300,16,1,Glc,d18:1,16:1
5.8,0,300,16,1,Glc,d18:1,16:1
6,0,300,16,1,Glc,d18:1,16:1
6.2,0,300,16,1,Glc,d18:1,16:1
6.4,0,300,16,1,Glc,d18:1,16:1
6.6,0,300,16,1,Glc,d18:1,16:1
6.8,0,300,16,1,Glc,d18:1,16:1
7,0,300,16,1,Glc,d18:1,16:1
7.2,0,300,16,1,Glc,d18:1,16:1
